node,row_idx,is_train,is_test,is_clean,L_i_r_db,state_idx,A_hat_r_db
Node3-Bogota,40,True,False,True,-20.10054874420166,1,-0.08707461246224332
Node3-Bogota,41,True,False,True,-20.124004364013672,1,-0.08707461246224332
Node3-Bogota,42,True,False,True,-20.090120315551758,1,-0.08707461246224332
Node3-Bogota,43,True,False,True,-19.51863384246826,5,0.08475904686506402
Node3-Bogota,44,True,False,True,-19.224812507629395,5,0.08475904686506402
Node3-Bogota,45,True,False,True,-19.979121208190918,3,0.014124203097912708
Node3-Bogota,46,True,False,True,-19.67800998687744,5,0.08475904686506402
Node3-Bogota,47,True,False,True,-20.038403511047363,2,-0.15882992189983997
Node3-Bogota,48,True,False,True,-20.06936740875244,1,-0.08707461246224332
Node3-Bogota,49,True,False,True,-19.864761352539062,3,0.014124203097912708
Node3-Bogota,50,True,False,True,-19.788125038146973,4,-0.08581152627634447
Node3-Bogota,51,True,False,True,-19.871929168701172,3,0.014124203097912708
Node3-Bogota,52,True,False,True,-20.042033195495605,2,-0.15882992189983997
